"transactionIPaddress","transactionIPaddress_risk"
1,-2.21920348405499
1.1,-2.2082744135228
1.11,-2.2082744135228
1.112,-2.2082744135228
1.114,-2.21920348405499
1.115,-2.31253542384721
1.12,-2.28238238567653
1.121,-2.2512917986065
1.122,-2.39789527279837
1.123,-2.35137525716348
1.124,-2.45100509811232
1.125,-2.45958884180371
1.126,-2.54160199346455
1.127,-2.54160199346455
1.16,-2.24070968927596
1.161,-2.2082744135228
1.162,-2.24070968927596
1.164,-2.26176309847379
1.165,-2.21920348405499
1.168,-2.2082744135228
1.169,-2.24070968927596
1.171,-2.24070968927596
1.173,-2.2082744135228
1.174,-2.21920348405499
1.175,-2.21920348405499
1.177,-2.21920348405499
1.178,-2.24070968927596
1.186,-2.2082744135228
1.2,-2.2082744135228
1.202,-2.2082744135228
1.209,-2.2082744135228
1.21,-2.10191439753189
1.211,-2.2082744135228
1.214,-2.2082744135228
1.217,-2.2082744135228
1.218,-2.2082744135228
1.22,-2.04769284336526
1.221,-2.24070968927596
1.224,-2.23001440015921
1.226,-2.2082744135228
1.228,-2.2082744135228
1.229,-2.2082744135228
1.23,-2.2082744135228
1.231,-2.23001440015921
1.232,-2.23001440015921
1.234,-2.24070968927596
1.235,-2.24070968927596
1.236,-2.2082744135228
1.237,-2.24070968927596
1.238,-2.2082744135228
1.241,-2.21920348405499
1.246,-2.2082744135228
1.252,-2.2082744135228
1.254,-2.2082744135228
1.33,-2.23001440015921
1.34,-2.24070968927596
1.36,-2.40694510831829
1.38,-2.21920348405499
1.39,-2.2082744135228
1.44,-2.24070968927596
1.54,-2.21920348405499
1.55,-2.2082744135228
1.64,-2.33214389523559
1.66,-2.2082744135228
1.67,-2.2082744135228
1.72,-2.29253475714054
1.75,-2.2082744135228
1.78,-2.2082744135228
1.79,-2.2082744135228
2,-2.28238238567653
2.1,-2.50143595173921
2.101,-2.52572864430826
2.102,-2.4423470353692
2.103,-2.58021682959233
2.104,-2.2512917986065
2.105,-2.28238238567653
2.106,-2.28238238567653
2.107,-2.37954613413017
2.108,-2.29253475714054
2.109,-2.23001440015921
2.11,-2.30258509299405
2.111,-2.36085400111802
2.112,-2.2082744135228
2.114,-2.2082744135228
2.116,-2.2082744135228
2.12,-2.484906649788
2.121,-2.45100509811232
2.122,-2.4423470353692
2.123,-2.43361335540045
2.124,-2.37954613413017
2.125,-2.35137525716348
2.126,-2.46809953147162
2.127,-2.36085400111802
2.129,-2.21920348405499
2.13,-2.27212588550934
2.133,-2.23001440015921
2.136,-2.30258509299405
2.137,-2.28238238567653
2.138,-2.26176309847379
2.139,-2.42480272571829
2.14,-2.28238238567653
2.141,-2.23001440015921
2.143,-2.2082744135228
2.148,-2.2082744135228
2.149,-2.2082744135228
2.15,-2.31253542384721
2.156,-2.2082744135228
2.158,-2.2082744135228
2.171,-2.23001440015921
2.173,-2.27212588550934
2.174,-2.23001440015921
2.192,-2.26176309847379
2.193,-2.23001440015921
2.2,-2.31253542384721
2.202,-2.2082744135228
2.203,-2.2082744135228
2.204,-2.2082744135228
2.205,-2.2082744135228
2.206,-2.26176309847379
2.207,-2.2082744135228
2.216,-2.40694510831829
2.217,-2.39789527279837
2.218,-2.42480272571829
2.219,-2.42480272571829
2.22,-2.3887627892351
2.221,-2.43361335540045
2.222,-2.45100509811232
2.223,-2.39789527279837
2.224,-2.28238238567653
2.225,-2.21920348405499
2.226,-2.24070968927596
2.227,-2.28238238567653
2.228,-2.29253475714054
2.229,-2.28238238567653
2.23,-2.27212588550934
2.231,-2.2512917986065
2.232,-2.21920348405499
2.233,-2.27212588550934
2.234,-2.32238772029023
2.235,-2.31253542384721
2.236,-2.27212588550934
2.237,-2.2082744135228
2.238,-2.29253475714054
2.239,-2.2082744135228
2.24,-2.50143595173921
2.243,-2.2082744135228
