"transactionIPaddress","transactionIPaddress_risk"
2.244,-2.32238772029023
2.245,-2.2082744135228
2.246,-2.2082744135228
2.248,-2.27212588550934
2.25,-2.45958884180371
2.26,-2.45958884180371
2.27,-2.40694510831829
2.28,-2.39789527279837
2.29,-2.41591377830105
2.3,-2.4932054526027
2.31,-2.35137525716348
2.32,-2.2082744135228
2.33,-2.2512917986065
2.34,-2.23001440015921
2.35,-2.27212588550934
2.36,-2.2512917986065
2.37,-2.2082744135228
2.38,-2.23001440015921
2.39,-2.2512917986065
2.4,-2.29253475714054
2.42,-2.2082744135228
2.49,-2.37024374146786
2.5,-2.29345260943077
2.51,-2.29253475714054
2.55,-2.23001440015921
2.6,-2.28238238567653
2.67,-2.2082744135228
2.68,-2.26176309847379
2.69,-2.26176309847379
2.8,-2.24070968927596
2.81,-2.23001440015921
2.82,-2.2082744135228
2.83,-2.2082744135228
2.84,-2.21920348405499
2.85,-2.21920348405499
2.86,-2.23001440015921
2.88,-2.24070968927596
2.89,-2.2512917986065
2.9,-2.32238772029023
2.91,-2.2512917986065
2.92,-2.2082744135228
2.94,-2.23001440015921
2.95,-2.21920348405499
2.96,-2.40694510831829
2.97,-2.46809953147162
2.98,-2.30258509299405
2.99,-2.34703685556488
4.26,-2.21920348405499
4.28,-2.32238772029023
4.3,-2.33214389523559
4.31,-2.28238238567653
4.34,-2.2082744135228
4.36,-2.2082744135228
4.53,-2.24070968927596
4.59,-2.36085400111802
4.71,-2.23001440015921
4.78,-2.21920348405499
4.79,-2.21920348405499
5.1,-2.23001440015921
5.102,-2.23001440015921
5.103,-2.37954613413017
5.104,-2.24070968927596
5.108,-2.2082744135228
5.111,-2.23001440015921
5.12,-2.21920348405499
5.128,-2.2082744135228
5.133,-2.21920348405499
5.135,-2.10191439753189
5.142,-2.2082744135228
5.144,-2.21920348405499
5.145,-2.26176309847379
5.146,-2.31253542384721
5.147,-2.27212588550934
5.149,-2.24070968927596
5.15,-2.26176309847379
5.151,-2.26176309847379
5.153,-2.2082744135228
5.157,-2.2082744135228
5.158,-2.29253475714054
5.159,-2.2082744135228
5.164,-2.2082744135228
5.165,-2.2082744135228
5.166,-2.2082744135228
5.168,-2.21920348405499
5.169,-2.2082744135228
5.172,-2.2512917986065
5.179,-2.27212588550934
5.185,-2.2082744135228
5.19,-2.21920348405499
5.198,-2.21920348405499
5.199,-2.2082744135228
5.2,-2.21920348405499
5.206,-2.2082744135228
5.22,-2.23001440015921
5.226,-2.2082744135228
5.228,-2.24070968927596
5.24,-2.2082744135228
5.241,-2.24070968927596
5.242,-2.2082744135228
5.244,-2.2082744135228
5.245,-2.23001440015921
5.25,-2.2082744135228
5.28,-2.2082744135228
5.29,-2.2082744135228
5.34,-2.2082744135228
5.35,-2.23001440015921
5.39,-2.2082744135228
5.42,-2.21920348405499
5.44,-2.2082744135228
5.45,-2.2082744135228
5.46,-2.21920348405499
5.47,-2.21920348405499
5.48,-2.28238238567653
5.49,-2.27212588550934
5.5,-2.28238238567653
5.54,-2.21920348405499
5.56,-2.28238238567653
5.57,-2.23001440015921
5.6,-2.2082744135228
5.61,-2.2512917986065
5.63,-2.2082744135228
5.64,-2.47653840011748
5.65,-2.484906649788
5.66,-2.45958884180371
5.67,-2.50143595173921
5.68,-2.39789527279837
5.69,-2.45958884180371
5.7,-2.4932054526027
5.71,-2.45958884180371
5.79,-2.21920348405499
5.8,-2.21920348405499
5.81,-2.28238238567653
5.82,-2.31253542384721
5.84,-2.2082744135228
5.86,-2.2082744135228
5.95,-2.2082744135228
5.96,-2.2082744135228
5.97,-2.2082744135228
5.98,-2.2082744135228
8.12,-2.21920348405499
8.14,-2.2082744135228
8.17,-2.24070968927596
8.18,-2.21920348405499
8.19,-2.28238238567653
8.193,-2.23001440015921
8.2,-2.27212588550934
8.21,-2.23001440015921
8.22,-2.2512917986065
8.224,-2.2082744135228
8.225,-2.23001440015921
8.23,-2.14539950947163
8.24,-2.29253475714054
8.25,-2.2512917986065
8.26,-2.26176309847379
8.27,-2.21920348405499
8.28,-2.31253542384721
8.3,-2.27212588550934
8.31,-2.29253475714054
8.33,-2.2082744135228
8.34,-2.23001440015921
8.35,-2.19722457733622
8.36,-2.23001440015921
8.37,-2.21920348405499
8.4,-2.2082744135228
8.7,-2.23001440015921
12,-2.26176309847379
12.1,-2.29253475714054
12.102,-2.2082744135228
12.104,-2.24070968927596
12.105,-2.2512917986065
12.106,-2.26176309847379
12.107,-2.26176309847379
12.108,-2.23001440015921
12.109,-2.30258509299405
12.11,-2.24070968927596
12.111,-2.21920348405499
12.116,-2.23001440015921
12.117,-2.21920348405499
12.119,-2.24070968927596
12.12,-2.26176309847379
12.124,-2.2082744135228
12.127,-2.2082744135228
12.129,-2.30258509299405
12.13,-2.2270775404859
12.131,-2.31253542384721
12.132,-2.30258509299405
12.133,-2.27212588550934
12.135,-2.2082744135228
12.139,-2.32238772029023
12.14,-2.24070968927596
12.144,-2.26176309847379
12.145,-2.27212588550934
12.146,-2.27212588550934
12.147,-2.27212588550934
12.148,-2.23001440015921
12.149,-2.2082744135228
12.15,-2.32238772029023
12.151,-2.21920348405499
12.152,-2.2512917986065
12.153,-1.84582669049833
12.154,-2.2512917986065
12.155,-2.24070968927596
12.156,-2.24070968927596
12.157,-2.2512917986065
12.158,-2.24070968927596
12.159,-2.24070968927596
12.16,-2.24070968927596
12.161,-2.30258509299405
12.162,-2.2082744135228
12.163,-2.24070968927596
12.164,-2.26176309847379
12.165,-2.27212588550934
12.166,-2.29253475714054
12.167,-2.24070968927596
12.168,-2.24070968927596
12.169,-2.23001440015921
12.17,-2.2512917986065
12.171,-2.15598161880217
12.172,-2.21920348405499
12.173,-2.29253475714054
12.174,-2.24070968927596
12.175,-2.28238238567653
12.176,-2.27212588550934
12.177,-2.2512917986065
12.178,-2.2512917986065
12.179,-2.21920348405499
12.18,-2.32238772029023
12.181,-2.28238238567653
12.182,-2.23001440015921
12.183,-2.2082744135228
12.184,-2.26176309847379
12.185,-2.30258509299405
12.186,-2.24070968927596
12.187,-2.21920348405499
12.188,-2.2512917986065
12.189,-2.15598161880217
12.19,-2.31253542384721
12.191,-2.26176309847379
12.192,-2.21920348405499
12.193,-2.28238238567653
12.195,-2.2512917986065
12.196,-2.28238238567653
12.197,-2.35137525716348
12.198,-2.26176309847379
12.199,-2.26176309847379
12.2,-2.3887627892351
12.201,-2.2512917986065
12.202,-2.30258509299405
12.203,-2.23001440015921
12.204,-2.33214389523559
12.205,-2.32238772029023
12.206,-2.1870722058722
12.207,-2.28238238567653
12.208,-2.30258509299405
12.21,-2.14539950947163
12.216,-2.29253475714054
12.217,-2.29253475714054
12.218,-2.32238772029023
12.219,-2.30258509299405
12.22,-2.31253542384721
12.222,-2.23001440015921
12.226,-2.27212588550934
12.227,-2.33214389523559
12.228,-2.28238238567653
12.229,-2.27212588550934
12.23,-2.34180580614733
12.231,-2.28238238567653
12.232,-2.30258509299405
12.233,-2.36085400111802
12.234,-2.28238238567653
12.235,-2.24070968927596
12.236,-2.29253475714054
12.237,-2.29253475714054
12.238,-2.26176309847379
12.239,-2.32238772029023
12.24,-2.21920348405499
12.248,-2.2082744135228
12.249,-2.28238238567653
12.25,-2.29253475714054
12.251,-2.28238238567653
12.26,-2.21920348405499
12.27,-2.23001440015921
12.28,-2.2512917986065
12.29,-2.21920348405499
12.3,-2.23001440015921
12.31,-2.26176309847379
12.32,-2.24070968927596
12.34,-2.30258509299405
12.35,-2.24070968927596
12.37,-2.21920348405499
12.38,-2.21920348405499
12.39,-2.29253475714054
12.4,-2.31253542384721
12.41,-2.31253542384721
12.42,-2.24070968927596
12.43,-2.32238772029023
12.44,-2.26176309847379
12.45,-2.23001440015921
12.46,-2.2082744135228
12.47,-2.2512917986065
12.48,-2.24070968927596
12.49,-2.33214389523559
12.5,-2.24070968927596
12.51,-2.21920348405499
12.52,-2.30258509299405
12.53,-2.07944154167984
12.54,-2.35137525716348
12.6,-2.26176309847379
12.68,-2.26176309847379
12.69,-2.29253475714054
12.7,-2.32238772029023
12.71,-2.31253542384721
12.77,-2.2082744135228
12.8,-2.24070968927596
12.9,-2.2512917986065
12.91,-2.29253475714054
12.96,-2.23001440015921
12.97,-2.33214389523559
13.1,-2.2082744135228
13.13,-2.2082744135228
13.17,-2.21920348405499
13.21,-2.2082744135228
14.1,-2.21920348405499
14.102,-2.2082744135228
14.104,-2.2082744135228
14.107,-2.2082744135228
14.132,-2.2082744135228
14.136,-2.28238238567653
14.138,-2.2082744135228
14.139,-2.2082744135228
14.14,-2.21920348405499
14.146,-2.2082744135228
14.153,-2.2082744135228
14.192,-2.21920348405499
14.193,-2.2082744135228
14.194,-2.2082744135228
14.198,-2.28238238567653
14.199,-2.23001440015921
14.2,-2.58021682959233
14.201,-2.34180580614733
14.202,-2.36085400111802
14.203,-2.2512917986065
14.207,-2.23001440015921
14.211,-2.2082744135228
14.32,-2.26176309847379
14.33,-2.2082744135228
14.36,-2.23001440015921
14.37,-2.21920348405499
14.38,-2.2082744135228
14.39,-2.2082744135228
14.4,-2.2082744135228
14.42,-2.2082744135228
14.43,-2.2082744135228
14.44,-2.21920348405499
14.46,-2.21920348405499
14.49,-2.2082744135228
14.52,-2.27212588550934
14.54,-2.2082744135228
14.63,-2.24070968927596
14.96,-2.23001440015921
14.97,-2.24070968927596
14.98,-2.23001440015921
14.99,-2.26176309847379
15.185,-2.00976162104185
15.195,-2.21920348405499
15.203,-2.27212588550934
15.211,-2.24070968927596
15.219,-2.21920348405499
15.227,-2.23001440015921
17.103,-2.2082744135228
17.199,-2.2082744135228
17.203,-2.2082744135228
17.212,-2.2082744135228
17.233,-2.21920348405499
17.26,-2.2082744135228
17.27,-2.2082744135228
17.7,-2.2082744135228
18.101,-2.21920348405499
18.111,-2.27212588550934
18.189,-2.23001440015921
18.239,-2.2082744135228
18.62,-2.2082744135228
18.83,-2.2082744135228
20.132,-2.13470422035489
20.137,-2.23001440015921
23.16,-2.38959646998368
23.17,-2.39789527279837
23.19,-2.2082744135228
23.2,-2.01490302054226
23.21,-2.2082744135228
23.24,-2.65324196460722
23.25,-2.63188884013665
23.28,-2.33830317559612
23.29,-2.42480272571829
23.3,-2.54374714981093
23.31,-2.72785282839839
24,-2.90690105984738
24.1,-3.11522325155553
24.101,-2.53657866033232
24.102,-2.38959646998368
24.103,-2.50143595173921
24.104,-2.37954613413017
24.105,-2.40694510831829
24.106,-2.56494935746154
24.107,-2.82137888640921
24.108,-2.28423595432585
24.109,-2.3887627892351
24.11,-2.87919845729804
24.111,-2.63188884013665
24.112,-2.484906649788
24.113,-2.74959920401508
24.114,-2.85647020622048
24.115,-2.58021682959233
24.116,-2.58021682959233
24.117,-2.59931700096574
24.118,-2.63905732961526
24.119,-2.65324196460722
24.12,-2.99573227355399
24.121,-2.66025953726586
24.122,-2.31253542384721
24.123,-2.60268968544438
24.124,-2.3887627892351
24.125,-2.67414864942653
24.126,-2.77258872223978
24.127,-2.38381053291663
24.128,-2.95491027903374
24.129,-2.61274002129789
24.13,-2.83688307294518
24.131,-2.77258872223978
24.132,-2.30258509299405
24.133,-2.23001440015921
24.134,-2.34180580614733
24.136,-2.59525470695687
24.137,-2.31253542384721
24.138,-2.37278935166729
24.139,-2.37024374146786
24.14,-3.03013370027132
24.141,-2.45100509811232
24.142,-2.4932054526027
24.143,-2.46963917765721
24.144,-2.35137525716348
24.145,-2.37954613413017
24.146,-2.45958884180371
24.147,-2.65324196460722
24.148,-2.54944517092557
24.149,-2.37954613413017
24.15,-2.84158159372673
24.151,-2.67414864942653
24.152,-2.2655438213137
24.153,-2.50143595173921
24.154,-2.71469474382088
24.155,-2.58776403522771
24.156,-2.35137525716348
24.157,-2.38122822031316
24.158,-2.02320182335696
24.159,-2.38122822031316
24.16,-2.98736402388347
24.161,-2.33830317559612
24.162,-2.24248116892434
24.163,-2.43361335540045
24.164,-2.49245385542338
24.165,-2.55793178480289
24.166,-2.43361335540045
24.167,-2.42480272571829
24.168,-2.43361335540045
24.169,-2.2082744135228
24.17,-3.03974915897077
24.171,-2.57261223020711
24.172,-2.38262780066758
24.173,-2.54160199346455
24.175,-2.37024374146786
24.176,-2.43226291630258
24.177,-2.63188884013665
24.178,-2.58776403522771
24.179,-2.37490575457367
24.18,-3.04054628934378
24.181,-2.65324196460722
24.182,-2.58776403522771
24.183,-2.53369681395743
24.184,-2.62708113856854
24.185,-2.51230562397611
24.186,-2.69462718077007
24.187,-2.79116510781272
24.188,-2.63905732961526
24.189,-2.66722820658196
24.19,-3.11794990627824
24.191,-2.55722731136763
24.192,-2.51769647261099
24.193,-2.42036812865043
24.196,-2.60268968544438
24.197,-2.54160199346455
24.199,-2.43838663415311
24.2,-3.20790679349763
24.201,-2.27726728500976
24.202,-2.45100509811232
24.203,-2.246495626343
24.204,-2.34180580614733
24.205,-2.71469474382088
24.206,-2.32238772029023
24.207,-2.484906649788
24.208,-2.31253542384721
24.209,-2.69462718077007
24.21,-2.94881535376624
24.211,-2.63905732961526
24.212,-2.44629181366022
24.213,-2.42480272571829
24.214,-2.54160199346455
24.215,-2.31163492851396
24.216,-2.45100509811232
24.217,-2.484906649788
24.218,-2.75366071235426
24.219,-2.2512917986065
24.22,-3.04452243772342
24.221,-2.2082744135228
24.222,-2.55722731136763
24.223,-2.35137525716348
24.224,-2.54944517092557
24.225,-2.45958884180371
24.226,-2.39789527279837
24.227,-2.46963917765721
24.228,-2.70136121295141
24.229,-2.56494935746154
24.23,-2.85263142991332
24.231,-2.47730205040278
24.232,-2.21920348405499
24.233,-2.65324196460722
24.234,-2.72129542785223
24.235,-2.484906649788
24.236,-2.47730205040278
24.237,-2.70805020110221
24.238,-2.39789527279837
24.239,-2.63188884013665
24.24,-2.67727854243546
24.241,-2.62466859216316
24.242,-2.46809953147162
24.243,-2.45958884180371
24.244,-2.26176309847379
24.245,-2.45100509811232
24.246,-2.42480272571829
24.247,-2.66025953726586
24.248,-2.4423470353692
24.249,-2.52572864430826
24.25,-2.56494935746154
24.251,-2.77258872223978
24.252,-2.60605103314709
24.253,-2.67414864942653
24.254,-2.57587842799373
24.255,-2.68784749378469
24.26,-2.40694510831829
24.27,-2.24248116892434
24.28,-2.47653840011748
24.29,-2.40694510831829
24.3,-2.92511470634004
24.31,-2.11021320034659
24.32,-2.42480272571829
24.33,-2.36085400111802
24.34,-2.76631910922619
24.35,-2.40694510831829
24.36,-2.43361335540045
24.37,-2.26868354131836
24.38,-2.29421684332353
24.39,-2.484906649788
24.4,-2.91037242460283
24.41,-2.26176309847379
24.42,-2.66025953726586
24.43,-2.54160199346455
24.44,-2.70197115502583
24.45,-2.5788384696222
24.46,-2.33767641280532
24.47,-2.72785282839839
24.48,-2.35137525716348
24.49,-2.50143595173921
24.5,-2.98061863574394
24.51,-2.35137525716348
24.52,-2.63188884013665
24.53,-2.43361335540045
24.54,-2.33830317559612
24.55,-2.4423470353692
24.56,-2.29421684332353
24.57,-2.38122822031316
24.58,-2.45100509811232
24.59,-2.18864083364483
24.6,-2.82477447541035
24.61,-2.70136121295141
24.62,-2.66025953726586
24.63,-2.59253731398037
24.64,-2.38959646998368
24.65,-2.26176309847379
24.66,-2.29253475714054
24.67,-2.37024374146786
24.68,-2.33214389523559
24.69,-2.28238238567653
24.7,-2.69774083144335
24.71,-2.27212588550934
24.72,-2.09714111877924
24.73,-2.54160199346455
24.74,-2.67414864942653
24.75,-2.30258509299405
24.76,-2.28238238567653
24.77,-2.27493356166354
24.78,-2.1870722058722
24.79,-2.32060359849672
24.8,-2.90142159408275
24.84,-2.32949254591397
24.85,-2.35569491830799
24.86,-2.33214389523559
24.87,-2.30258509299405
24.88,-2.37954613413017
24.89,-2.34703685556488
24.9,-3.10458667846607
24.91,-2.68102152871429
24.92,-2.4619171315633
24.93,-2.56494935746154
24.94,-2.33537491581704
24.95,-2.31253542384721
24.96,-2.47653840011748
24.97,-2.21557371600442
24.98,-2.67414864942653
24.99,-2.2512917986065
27,-2.21920348405499
27.1,-2.23001440015921
27.104,-2.11296423371848
27.106,-2.10191439753189
27.109,-2.23001440015921
27.111,-2.2082744135228
27.113,-2.2082744135228
27.114,-2.23001440015921
27.115,-2.2082744135228
27.116,-2.21920348405499
27.12,-2.2082744135228
27.121,-2.2082744135228
27.122,-2.21920348405499
27.123,-2.2082744135228
27.124,-2.2082744135228
27.125,-2.2082744135228
27.127,-2.2082744135228
27.133,-2.2082744135228
27.134,-2.10191439753189
27.135,-2.23001440015921
27.141,-2.2082744135228
27.142,-2.2082744135228
27.147,-2.10191439753189
27.2,-2.2082744135228
27.242,-2.2082744135228
27.243,-2.2082744135228
27.251,-2.2082744135228
27.252,-2.46809953147162
27.253,-2.32238772029023
27.32,-2.51769647261099
27.33,-2.484906649788
27.34,-2.2082744135228
27.35,-2.21920348405499
27.4,-2.23001440015921
27.46,-2.2082744135228
27.5,-2.21920348405499
27.54,-2.21920348405499
27.55,-2.2082744135228
27.7,-2.23001440015921
27.82,-2.23001440015921
27.83,-2.21920348405499
27.86,-2.2082744135228
27.87,-2.2082744135228
27.88,-2.2082744135228
27.91,-2.2082744135228
27.96,-2.23001440015921
27.97,-2.2082744135228
27.99,-2.37954613413017
31,-2.2082744135228
31.1,-2.2082744135228
31.101,-2.2082744135228
31.103,-2.2082744135228
31.105,-2.24070968927596
31.109,-2.21920348405499
31.11,-2.2082744135228
31.119,-2.2082744135228
31.121,-2.2082744135228
31.125,-2.2082744135228
31.126,-2.29253475714054
31.127,-2.21920348405499
31.137,-2.2082744135228
31.14,-2.2082744135228
31.148,-2.2082744135228
31.149,-2.2082744135228
31.15,-2.24070968927596
31.151,-2.33214389523559
31.153,-2.21920348405499
31.16,-2.32238772029023
31.161,-2.23001440015921
31.162,-2.21920348405499
31.163,-2.21920348405499
31.164,-2.32238772029023
31.165,-2.23001440015921
31.167,-2.21920348405499
31.17,-2.32238772029023
31.174,-2.2082744135228
31.177,-2.2082744135228
31.18,-2.34180580614733
31.182,-2.2082744135228
31.185,-2.35137525716348
31.186,-2.21920348405499
31.189,-2.21920348405499
31.19,-2.28238238567653
31.192,-2.2082744135228
31.193,-2.2082744135228
31.195,-2.2082744135228
31.197,-2.23001440015921
31.199,-2.2082744135228
31.2,-2.32238772029023
31.203,-2.2082744135228
31.204,-2.2082744135228
31.205,-2.61739583283408
31.207,-2.2512917986065
31.209,-2.31253542384721
31.21,-2.23001440015921
31.211,-2.2512917986065
31.212,-2.24070968927596
31.213,-2.21920348405499
31.214,-2.28238238567653
31.22,-2.23001440015921
31.221,-2.35137525716348
31.222,-2.24070968927596
31.223,-2.23001440015921
31.23,-2.21920348405499
31.24,-2.24070968927596
31.25,-2.2512917986065
31.27,-2.23001440015921
31.28,-2.2082744135228
31.3,-2.23001440015921
31.32,-2.29253475714054
31.33,-2.32238772029023
31.34,-2.27212588550934
31.35,-2.21920348405499
31.36,-2.24070968927596
31.37,-2.24070968927596
31.38,-2.24070968927596
31.39,-2.23001440015921
31.4,-2.26176309847379
31.41,-2.2082744135228
31.43,-2.2082744135228
31.44,-2.2082744135228
31.45,-2.39789527279837
31.46,-2.2082744135228
31.48,-2.2082744135228
31.5,-2.2512917986065
31.51,-2.69462718077007
31.52,-2.57261223020711
31.53,-2.60268968544438
31.54,-2.47653840011748
31.55,-2.58021682959233
31.6,-2.23001440015921
31.61,-2.2082744135228
31.67,-2.21920348405499
31.68,-2.27212588550934
31.69,-2.24070968927596
31.7,-2.23001440015921
31.74,-2.21920348405499
31.78,-2.2082744135228
31.8,-2.2082744135228
31.9,-2.2082744135228
31.92,-2.23001440015921
31.95,-2.2082744135228
31.96,-2.23001440015921
31.97,-2.2082744135228
31.99,-2.2082744135228
32.133,-2.2082744135228
32.137,-2.2082744135228
32.138,-2.2082744135228
32.143,-2.2082744135228
32.146,-2.2082744135228
32.149,-2.2082744135228
32.15,-2.2082744135228
32.151,-2.2082744135228
32.165,-2.24070968927596
32.173,-2.2082744135228
32.175,-2.2082744135228
32.176,-2.21920348405499
32.177,-2.2082744135228
32.178,-2.2082744135228
32.179,-2.23001440015921
32.6,-2.21920348405499
32.97,-2.23001440015921
34.254,-2.21920348405499
35,-2.2082744135228
35.1,-2.24070968927596
35.11,-2.27493356166354
35.12,-2.2082744135228
35.13,-2.26176309847379
35.14,-2.2512917986065
35.16,-2.21920348405499
35.24,-2.21920348405499
35.32,-2.2512917986065
35.4,-2.26176309847379
35.46,-2.26176309847379
35.9,-2.26176309847379
36.2,-2.26176309847379
36.224,-2.23001440015921
36.226,-2.21920348405499
36.228,-2.2082744135228
36.229,-2.2082744135228
36.23,-2.21920348405499
36.231,-2.23001440015921
36.238,-2.2082744135228
36.244,-2.2082744135228
36.245,-2.21920348405499
36.246,-2.21920348405499
36.3,-2.2512917986065
36.39,-2.2082744135228
36.52,-2.21920348405499
36.69,-2.21920348405499
36.7,-2.10191439753189
36.71,-2.2082744135228
36.72,-2.2082744135228
36.73,-2.2082744135228
36.74,-2.21920348405499
36.77,-2.2082744135228
36.82,-2.2082744135228
37,-2.21920348405499
37.1,-2.2512917986065
37.102,-2.2082744135228
37.103,-2.2082744135228
37.104,-2.24070968927596
37.105,-2.27212588550934
37.106,-2.2082744135228
37.107,-2.21920348405499
37.108,-2.2082744135228
37.109,-2.24070968927596
37.11,-2.27212588550934
37.113,-2.23001440015921
37.114,-2.2082744135228
37.116,-2.27212588550934
37.117,-2.24070968927596
37.121,-2.21920348405499
37.122,-2.21920348405499
37.123,-2.28238238567653
37.125,-2.2082744135228
37.128,-2.32238772029023
37.13,-2.21920348405499
37.131,-2.24070968927596
37.136,-2.23001440015921
37.138,-2.21920348405499
37.139,-2.2082744135228
37.14,-2.26176309847379
37.141,-2.21920348405499
37.142,-2.30258509299405
37.143,-2.2082744135228
37.144,-2.2082744135228
37.145,-2.21920348405499
37.146,-2.23001440015921
37.147,-2.21920348405499
37.148,-2.23001440015921
37.15,-2.2512917986065
37.152,-2.31253542384721
37.153,-2.2512917986065
37.157,-2.24070968927596
37.159,-2.21920348405499
37.16,-2.26176309847379
37.161,-2.2082744135228
37.17,-2.2082744135228
37.174,-2.2082744135228
37.18,-2.2082744135228
37.182,-2.23001440015921
37.183,-2.21920348405499
37.188,-2.2512917986065
37.19,-2.26176309847379
37.191,-2.30258509299405
37.192,-2.2082744135228
37.193,-2.23001440015921
37.195,-2.2082744135228
37.197,-2.29253475714054
37.198,-2.2082744135228
37.2,-2.27212588550934
37.201,-2.30258509299405
37.203,-2.2512917986065
37.204,-2.29253475714054
37.205,-2.2082744135228
37.206,-2.21920348405499
37.207,-2.2512917986065
37.208,-2.27212588550934
37.209,-2.27212588550934
37.218,-2.21920348405499
37.219,-2.21920348405499
37.221,-2.2082744135228
37.227,-2.21920348405499
37.228,-2.2082744135228
37.23,-2.2082744135228
37.231,-2.23001440015921
37.235,-2.2082744135228
37.24,-2.62466859216316
37.241,-2.2082744135228
37.242,-2.2082744135228
37.25,-2.30258509299405
37.251,-2.29253475714054
37.252,-2.21920348405499
37.26,-2.21920348405499
37.28,-2.23001440015921
37.29,-2.2082744135228
37.3,-2.24070968927596
37.32,-2.21920348405499
37.36,-2.21920348405499
37.39,-2.23001440015921
37.4,-2.26176309847379
37.44,-2.31253542384721
37.45,-2.2082744135228
37.46,-2.23001440015921
37.48,-2.2082744135228
37.49,-2.36085400111802
37.5,-2.35137525716348
37.53,-2.2082744135228
37.54,-2.2082744135228
37.58,-2.2082744135228
37.6,-2.26176309847379
37.62,-2.2082744135228
37.72,-2.2082744135228
37.74,-2.26176309847379
37.75,-2.21920348405499
37.76,-2.2082744135228
37.77,-2.21920348405499
37.78,-2.24070968927596
37.79,-2.23001440015921
37.8,-2.13470422035489
37.9,-2.2082744135228
38.1,-2.36085400111802
38.101,-2.30258509299405
38.102,-2.23001440015921
38.103,-2.26176309847379
38.104,-2.53369681395743
38.105,-2.34180580614733
38.106,-2.34180580614733
38.107,-2.21920348405499
