"accountPostalCode","accountPostalCode_risk"
"",-2.35137525716348
"-",-3.70695828598227
"0",-3.17805383034795
"00-000",-2.2082744135228
"00-028",-2.2082744135228
"00-310",-2.2082744135228
"00-490",-2.2082744135228
"00-511",-2.2082744135228
"00-640",-2.21920348405499
"00-680",-2.2082744135228
"00-685",-2.2082744135228
"00-769",-2.2082744135228
"00-775",-2.21920348405499
"00-819",-2.2082744135228
"000-000",-2.24070968927596
"000-0000",-2.2082744135228
"00000-000",-2.2082744135228
"0000aa",-2.2082744135228
"0000xx",-2.2082744135228
"001-0019",-2.21920348405499
"001-0023",-2.2082744135228
"001-0033",-2.2082744135228
"002-8081",-2.2082744135228
"003-0003",-2.2082744135228
"003-0021",-2.2082744135228
"003A300",-2.2082744135228
"004-0054",-2.2082744135228
"006-0812",-2.2082744135228
"00612-5720",-2.2082744135228
"00612-8836",-2.2082744135228
"00646-4668",-2.2082744135228
"00745-5102",-2.2082744135228
"00771-3514",-2.2082744135228
"00902-2081",-2.2082744135228
"00910-2882",-2.2082744135228
"00922-0431",-2.2082744135228
"00949-2268",-2.2082744135228
"00956-2844",-2.2082744135228
"00963-3465",-2.2082744135228
"00977-0905",-2.2082744135228
"01-315",-2.2082744135228
"01-402",-2.2082744135228
"01-494",-2.2082744135228
"01-519",-2.2082744135228
"01-710",-2.2082744135228
"010-0825",-2.2082744135228
"010 01",-2.2082744135228
"01002-5000",-2.21920348405499
"01012-010",-2.2082744135228
"01027-000",-2.2082744135228
"01033-000",-2.2082744135228
"01046-010",-2.21920348405499
"01075-1357",-2.2082744135228
"01085-1565",-2.2082744135228
"011-0912",-2.2082744135228
"011-0936",-2.2082744135228
"01131-010",-2.2082744135228
"01135-000",-2.2082744135228
"01156-000",-2.2082744135228
"01217-020",-2.2082744135228
"01220-1401",-2.2082744135228
"01228-100",-2.2082744135228
"01230-000",-2.2082744135228
"01230-001",-2.2082744135228
"01231-010",-2.2082744135228
"01231-020",-2.2082744135228
"01232-001",-2.2082744135228
"01238-000",-2.23001440015921
"01240-000",-2.2082744135228
"01242-001",-2.21920348405499
"01243-000",-2.2082744135228
"01244-001",-2.2082744135228
"01247-000",-2.21920348405499
"01252-070",-2.2082744135228
"01254-000",-2.21920348405499
"01255-000",-2.2082744135228
"01303-060",-2.2082744135228
"01304-003",-2.2082744135228
"01305-000",-2.2082744135228
"01307-001",-2.21920348405499
"01308-020",-2.2082744135228
"01309-001",-2.2082744135228
"01310-100",-2.2082744135228
"01311-300",-2.2082744135228
"01314-000",-2.2082744135228
"01316-000",-2.2082744135228
"01319-001",-2.2082744135228
"01321-000",-2.2082744135228
"01327-000",-2.2082744135228
"01330-1001",-2.2082744135228
"01331-000",-2.2082744135228
"01333-000",-2.2082744135228
"01333-011",-2.2082744135228
"014-0805",-2.2082744135228
"01408-001",-2.2082744135228
"01409-001",-2.2082744135228
"01410-002",-2.2082744135228
"01410-003",-2.2082744135228
"01411-010",-2.2082744135228
"01414-002",-2.2082744135228
"01416-001",-2.21920348405499
"01418-102",-2.2082744135228
"01420-000",-2.2082744135228
"01420-904",-2.2082744135228
"01421-000",-2.2082744135228
"01422-000",-2.2082744135228
"01423-000",-2.2082744135228
"01424-000",-2.2082744135228
"01424-001",-2.2082744135228
"01425-011",-2.2082744135228
"01432-020",-2.2082744135228
"01433-000",-2.2082744135228
"01433-030",-2.2082744135228
"01442-000",-2.2082744135228
"01450-050",-2.2082744135228
"01451-001",-2.2082744135228
"01452-1239",-2.2082744135228
"01453-030",-2.2082744135228
"01454-011",-2.21920348405499
"01455-090",-2.2082744135228
"01503-001",-2.2082744135228
"01506-000",-2.2082744135228
"01511-000",-2.2082744135228
"01526-000",-2.2082744135228
"01526-010",-2.2082744135228
"01527-050",-2.2082744135228
"01530-030",-2.2082744135228
"01532-000",-2.21920348405499
"01532-001",-2.2082744135228
"01532-030",-2.2082744135228
"01533-010",-2.2082744135228
"01534-030",-2.2082744135228
"01540-010",-2.2082744135228
"01548-010",-2.2082744135228
"01552-000",-2.2082744135228
"01566-1221",-2.2082744135228
"01581-2814",-2.2082744135228
"01583-1754",-2.2082744135228
"01585-0253",-2.2082744135228
"016-0833",-2.2082744135228
"01610-2395",-2.2082744135228
"01748-2653",-2.2082744135228
"01749-2435",-2.2082744135228
"01752-1214",-2.2082744135228
"01760-2725",-2.2082744135228
"01760-4244",-2.2082744135228
