"ipPostalCode","ipPostalCode_risk"
"",-2.33214389523559
"0",-5.03873672420713
"00-956",-2.92852352386054
"004-0000",-2.2082744135228
"010-0000",-2.12389330425067
"01000-000",-2.45100509811232
"01001-000",-4.14313472639153
"020-0000",-2.21920348405499
"038-0000",-2.23001440015921
"040-0000",-2.2082744135228
"041-0801",-2.2082744135228
"060-0000",-2.14006616349627
"060-0001",-2.45958884180371
"06010-000",-2.37954613413017
"06310-010",-2.21920348405499
"06401-000",-2.33214389523559
"06501-001",-2.23001440015921
"06600-005",-2.2082744135228
"06652-000",-2.2082744135228
"067-0000",-2.2082744135228
"06700-020",-2.21920348405499
"06753-000",-2.52572864430826
"06803-000",-2.2082744135228
"07010-000",-2.3887627892351
"07500-000",-2.24070968927596
"07700-000",-2.21920348405499
"08500-010",-2.2512917986065
"08710-000",-2.27212588550934
"09010-000",-1.9993988340063
"09310-000",-2.23001440015921
"09510-000",-2.40694510831829
"09600-000",-2.32238772029023
"09700-000",-2.2082744135228
"09910-000",-2.42480272571829
"1",-2.50737950564006
"10-001",-2.21920348405499
"100",-1.91386216602895
"100-0000",-1.27858366811711
"100-192",-2.21920348405499
"1000",-4.10167060231417
"10000",-2.9041650800285
"100000",-4.28220629939167
"100002",-2.50143595173921
"10001",-2.50143595173921
"10003",-2.54944517092557
"100031",-2.2082744135228
"10004",-2.25878247033565
"10005",-2.36085400111802
"10006",-2.2082744135228
"10007",-2.23001440015921
"1001",-3.75419892023458
"10010",-2.21920348405499
"10011",-2.23683371543127
"10012",-2.34180580614733
"10013",-2.27212588550934
"10014",-2.21920348405499
"10015",-2.21920348405499
"10016",-2.34180580614733
"10017",-2.32238772029023
"10018",-2.30258509299405
"10019",-2.28238238567653
"1002",-2.31253542384721
"10020",-4.17896516936765
"10021",-2.25606507735915
"10022",-2.24248116892434
"10023",-2.27212588550934
"10025",-2.43361335540045
"10027",-2.2082744135228
"10029",-2.21920348405499
"1003",-2.33214389523559
"10032",-2.23001440015921
"10034",-2.2082744135228
"10036",-2.26176309847379
"10038",-2.2082744135228
"1004",-2.2082744135228
"10040",-2.21920348405499
"1005",-3.55891312765391
"1006",-4.59274031302132
"10060",-2.2082744135228
"101",-2.484906649788
"101-0051",-2.24070968927596
"1010",-2.2082744135228
"10100",-2.46809953147162
"10101",-2.32238772029023
"1011",-2.2082744135228
"10112",-2.23001440015921
"10117",-2.2082744135228
"10121",-2.28238238567653
"10122",-2.23001440015921
"10150",-2.2082744135228
"10158",-2.2082744135228
"10169",-2.2082744135228
"10178",-3.04927304048202
"1020",-2.24070968927596
"1022",-2.2082744135228
"10270",-2.2082744135228
"10271",-2.26176309847379
"1028",-2.2082744135228
"102800",-2.2082744135228
"10281",-2.2082744135228
"103-0000",-2.27212588550934
"1030",-2.21920348405499
"10309",-2.2082744135228
"10314",-2.72785282839839
"103305",-2.21920348405499
"1040",-2.2512917986065
"10405",-2.2082744135228
"10452",-2.21920348405499
"10458",-2.24070968927596
"10459",-2.21920348405499
"10460",-3.14216090728734
"10461",-2.23001440015921
"10464",-2.2082744135228
"10465",-2.2082744135228
"10468",-2.2082744135228
"10471",-2.12389330425067
"10474",-2.2082744135228
"10475",-2.2082744135228
"105-0000",-2.61739583283408
"1050",-2.2082744135228
"10504",-2.2082744135228
"10509",-2.2082744135228
"10510",-2.2512917986065
"10512",-2.40694510831829
"10516",-2.2082744135228
"10523",-2.21920348405499
"10528",-2.2082744135228
"10533",-2.23001440015921
"10536",-2.2082744135228
